"","Property_Sector","Origination_Date","Fixed_Maturity","Recent_NOI","Recent_Value","Orig_Note_Amount","Year_Built","Physical_Occupancy_At_Securitiza","Scheduled_Balloon","FSH","Health","Industrial","LSH","Mixed_Use","Mobile_Home","Multi_family","Office","Other","Retail_Anchored","Retail_Unanchored","Self_Storage","Warehouse","Spread","Inv_Bank_Dummy"
"1","Retail Anchored",1997-01-01,2006-12-01,2847918,30500000,22500000,1961,1,19519980.01,0,0,0,0,0,0,0,0,0,1,0,0,0,2.2675,0
"2","Retail Anchored",1997-05-01,2007-05-01,2281587,2.7e+07,18225000,1993,0.95,16664593.12,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0145,0
"3","Retail Anchored",1996-11-01,2006-11-01,2055128,21200000,14990000,1990,0.95,13289173.26,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0445,0
"4","Multi-family",1996-08-01,2003-08-01,1466031,1.7e+07,12600000,1989,0.97,11875789.61,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0445,0
"5","Multi-family",1997-01-01,2002-01-01,1563082.91,1.5e+07,11960000,-1,-1,11419666.92,0,0,0,0,0,0,1,0,0,0,0,0,0,2.3045,0
"6","Multi-family",1996-09-01,2003-09-01,1095040,15800000,11800000,1990,0.89,10976445.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1.163,0
"7","Multi-family",1996-08-01,2003-08-01,1488386,18200000,11750000,1989,0.92,11074475.53,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0445,0
"8","Healthcare",1997-03-01,2017-03-01,2154202,17300000,10500000,1969,0.98,1.32,0,1,0,0,0,0,0,0,0,0,0,0,0,2.1795,0
"9","Multi-family",1997-05-01,2007-05-01,1349540.73,13100000,10250000,-1,-1,9081761.37,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5445,0
"10","Mixed Use",1997-01-01,2007-01-01,1315048,14200000,10235000,1914,0.95,8497334.14,0,0,0,0,1,0,0,0,0,0,0,0,0,2.7445,0
"11","Multi-family",1997-06-01,2007-06-01,1188927,12200000,9650000,1965,0.99,8530265.95,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5645,0
"12","Office",1997-01-01,2007-01-01,1294595,15100000,9450000,1972,0.86,7757007.92,0,0,0,0,0,0,0,1,0,0,0,0,0,2.2545,0
"13","Multi-family",1996-08-01,2003-08-01,1101168,1.3e+07,9400000,1989,1,8859580.08,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0445,0
"14","Multi-family",1996-07-01,2006-07-01,977452,12300000,9200000,1972,0.97,8232096.85,0,0,0,0,0,0,1,0,0,0,0,0,0,1.033,0
"15","Multi-family",1997-04-01,2007-04-01,907989,10800000,8585000,1970,0.87,7619629.13,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7345,0
"16","Multi-family",1997-03-01,2007-03-01,961897,10500000,8462270,1979,0.97,7467114.79,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"17","Multi-family",1996-04-01,2006-04-01,749903,11400000,8500000,1975,0.97,7464258.08,0,0,0,0,0,0,1,0,0,0,0,0,0,1.573,0
"18","Multi-family",1996-12-01,2003-12-01,947953,12300000,8430000,1974,0.9,7842633.11,0,0,0,0,0,0,1,0,0,0,0,0,0,2.3645,0
"19","Limited Service Hotel",1997-02-01,2007-02-01,1324334,15400000,8350000,1978,0.79,6964970.46,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6745,0
"20","Multi-family",1997-04-01,2007-04-01,987044,10400000,8265000,1970,0.94,7335612.07,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7345,0
"21","Multi-family",1996-09-01,2003-09-01,928955,10400000,7650000,1969,0.93,7120547.28,0,0,0,0,0,0,1,0,0,0,0,0,0,1.163,0
"22","Retail Anchored",1995-09-01,2000-09-01,833660,9500000,7e+06,1972,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7445417,0
"23","Multi-family",1997-03-01,2007-03-01,734861,9200000,6970850,1977,0.94,6151084.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"24","Multi-family",1997-04-01,2007-04-01,823293,10500000,6800000,1970,0.86,5770928.54,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6095,0
"25","Multi-family",1997-03-01,2007-03-01,773013,8100000,6556730,1979,0.91,5785665.31,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"26","Industrial",1997-05-01,2007-05-01,863317,9300000,6300000,1980,0.98,5248022.06,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3445,0
"27","Industrial",1997-05-01,2007-05-01,795294,8100000,6e+06,1996,1,5392282.18,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3245,0
"28","Multi-family",1996-10-01,2006-09-01,710433,7500000,5970000,1990,0.97,5374845.33,0,0,0,0,0,0,1,0,0,0,0,0,0,2.50743333333333,0
"29","Retail Unanchored",1997-03-01,2007-03-01,726759,8600000,5420000,1986,1,4500926.38,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5955,0
"30","Multi-family",1997-04-01,2007-04-01,691653,6800000,5407605,1972,0.99,4401376.17,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4545,0
"31","Office",1996-12-01,2006-12-01,711441,7025000,5240000,1978,0.97,4336529.85,0,0,0,0,0,0,0,1,0,0,0,0,0,2.8245,0
"32","Multi-family",1997-01-01,2006-12-01,573211,6600000,5081006,1974,0.94,4055933.52,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4397,0
"33","Limited Service Hotel",1997-02-01,2007-02-01,798406,10200000,5050000,1988,0.77,4212348.6,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6745,0
"34","Multi-family",1997-01-01,2006-12-01,639270,6500000,4557427,1986,0.93,3485110.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4428,0
"35","Retail Unanchored",1997-04-01,2007-04-01,751025,8500000,4500000,1986,0.75,3728379.69,0,0,0,0,0,0,0,0,0,0,1,0,0,2.2045,0
"36","Retail Anchored",1997-02-01,2004-02-01,596594,6500000,4500000,1962,0.93,4037470.42,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5145,0
"37","Multi-family",1996-11-01,2006-11-01,563981,5800000,4450000,1970,0.99,3954834.38,0,0,0,0,0,0,1,0,0,0,0,0,0,1.473,0
"38","Limited Service Hotel",1997-01-01,2007-01-01,723705,6600000,4400000,1981,0.56,3285899.15,0,0,0,1,0,0,0,0,0,0,0,0,0,2.2945,0
"39","Multi-family",1997-01-01,2007-01-01,542174,6400000,4350000,1983,0.9,3572460.38,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2745,0
"40","Retail Anchored",1996-12-01,2006-12-01,566441,5700000,4275000,1989,1,3620362.97,0,0,0,0,0,0,0,0,0,1,0,0,0,2.1845,0
"41","Industrial",1997-04-01,2007-04-01,489279,5500000,4e+06,1947,1,3310328.47,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1545,0
"42","Multi-family",1996-10-01,2006-10-01,443269,5100000,3925000,1982,0.98,3487596.23,0,0,0,0,0,0,1,0,0,0,0,0,0,1.163,0
"43","Mixed Use",1996-10-01,2006-10-01,490539,5400000,3890000,1977,0.96,3356726.97,0,0,0,0,1,0,0,0,0,0,0,0,0,2.4545,0
"44","Retail Unanchored",1997-02-01,2007-02-01,574458,6200000,3860000,1977,0.97,3180444.45,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1345,0
"45","Industrial",1996-10-01,2006-10-01,542693,5800000,3850000,1985,1,3229647.77,0,0,1,0,0,0,0,0,0,0,0,0,0,2.8245,0
"46","Multi-family",1996-05-01,2006-05-01,401892,5e+06,3725000,1988,0.98,3290835.69,0,0,0,0,0,0,1,0,0,0,0,0,0,1.363,0
"47","Retail Anchored",1997-02-01,2007-02-01,498228,5800000,3500000,1963,0.95,2877733.73,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0445,0
"48","Industrial",1997-06-01,2007-06-01,472362,5100000,3535000,1961,1,3175305.5,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4345,0
"49","Multi-family",1997-03-01,2007-03-01,372649,4100000,3310150,1981,0.98,2920878.71,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"50","Multi-family",1997-03-01,2007-03-01,469028,5360000,3300000,1987,0.98,2834543.54,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7245,0
"51","Multi-family",1996-10-01,2003-10-01,374886,4500000,3300000,1970,1,3082143.79,0,0,0,0,0,0,1,0,0,0,0,0,0,1.273,0
"52","Mixed Use",1996-09-01,2006-09-01,487113,5302000,3225000,1975,1,2675955.84,0,0,0,0,1,0,0,0,0,0,0,0,0,2.2195,0
"53","Mixed Use",1997-06-01,2007-06-01,396057,5200000,3200000,1888,0.97,2716634.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1.6645,0
"54","Healthcare",1997-04-01,2007-04-01,598359,4260000,3200000,1983,1,2669210.17,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5045,0
